id	artist	album	genre	year	discs	speed	bought
182	Earth, Wind & Fire	I Am	R&B, Soul, Disco, Funk	1979		33	2010
181	Electric Light Orchestra	ELO II	Progressive rock	1973		33	2010
180	Earth, Wind & Fire	Raise!	R&B, Soul, Post-Disco, Funk	1981		33	2010
179	Asia	Asia	Progressive Rock, Pop Rock	1982		33	2010
178	Crosby, Stills & Nash	Crosby, Stills & Nash	Folk Rock,   Soft Rock, Blues Rock, Jazz Rock	1969		33	2010
177	Chicago	Chicago X	Rock	1976		33	2010
176	DEVO	New Traditionalists	New Wave, Synth-Pop	1984	1	33	2010
175	Electric Light Orchestra	Time	Synth-pop, prog rock, progressive rock, new wave, rock opera, post-disco	1981		33	2009
173	The Specials	Do Nothing / Maggie's Farm	Ska, Two Tone	1980	1	45	2016
172	High Places	03/07-09/07	Psychedelic Pop	2008		45	2008
171	Prince	1999	R&B, funk, pop, synth-pop, art pop	1982		33	2011
170	Whateverglades	Wish You Were	Rock N' Roll	2017	1	45	2017
163	The Coasters	Poison Ivy	Rock	1959	1	45	2020
162	Vera Lynn	Sincerely Yours	Pop	1945	1	45	2020
160	Sugar Cane	Val Hevala	Pop	1979	1	45	2016
159	The Special AKA	Nelson Mandela	Ska, Two Tone	1984	1	45	2016
158	David Bowie & Bing Crosby	Peace On Earth / Little Drummer Boy	Rock	1982	1	45	2016
157	John Lennon & Yoko Ono	Beautiful Boys / Woman	Rock	1980	1	45	2012
156	John Lennon & Yoko Ono	Just Like Starting Over / Kiss Kiss Kiss	Rock	1980	1	45	2012
155	10cc	The Things We Do For Love	Soft Rock	1976	1	45	2012
154	The Undertones	Positive Touch	Punk	1981	1	33	2016
152	Stephen Steinbrink	Anagrams	Folk	2016	1	33	2016
151	The Shapes	More Songs for Sensible People	Punk	1998	1	33	2015
150	Glochids	Originals	Experimental	2013	1	33	2017
149	Rhoda Dakar	Sings The Bodysnatchers	Ska, Two Tone	2014	1	33	2015
148	The Beatles	Abbey Road	Rock	1969	1	33	2017
147	Culture Club	Karma Chameleon	New Wave	1983	1	45	2013
145	Santana	Abraxas	Rock, Psychedelic Rock	1970	1	33	2011
144	Various	Santeria-Cubana	World, Cuban	1968	1	33	2012
143	Paul Simon	Greatest Hits, Etc.	Pop, Folk, World	1977	1	33	2007
142	Paul Simon	Graceland	Pop, Folk, World	1986	1	33	2011
141	Sister Rosetta Tharpe	Sister Rosetta Tharpe	Rock N' Roll, Gospel, R&B	1959	1	33	2011
140	Sly and the Family Stone	Fresh	Funk	1973	1	33	2011
138	Squeeze	Singles	New Wave, Punk	1982	1	33	2012
137	Supertramp	Breakfast in America	Rock, Prog Rock	1979	1	33	2014
136	The Thermals	Now We Can See	Indie Rock, Punk	2009	1	33	2009
135	Tilbury	Exorcise	Indie, Rock	2012	1	33	2012
134	Tilbury	Northern Comfort	Indie, Rock	2013	1	33	2013
133	The Undertones	Hypnotised	Punk, New Wave	1980	1	33	2018
132	Nirvana	Live	Grunge, Rock	1990	1	33	2021
131	Les Paul & Mary Ford	The World is Still Waiting for the Sunrise	Jazz, Country	1974	1	33	2008
130	Gilbert & Sullivan	The Pirates of Penzance	Musical	1981	1	33	2010
129	Prince and the Revolution	Around the World in a Day	Rock, Pop, R&B	1985	1	33	2007
128	Queen	A Day at the Races	Hard Rock, Symphonic Rock, Pop, Glam Rock	1976	1	33	2006
127	Queen	A Night at the Opera	Progressive Rock, Pop, Heavy Metal, Hard Rock, Avant Pop	1975	1	33	2006
126	Django Reinhardt	Django Reinhard & Stephane Grappelly with the Quintet of the Hot Club of France	Jazz, Gypsy Jazz	1945	1	33	2009
125	Elis Regina	Elis Regina in London	Jazz, Brazilian, World	1969	1	33	2007
124	Richard O'Brien	The Rocky Horror Picture Show	Musical, Glam Rock, Rock, Soundtrack	1975	1	33	2012
123	The Rolling Stones	December's Children	Rock	1965	1	33	2012
122	The Rolling Stones	Let it Bleed	Rock	1969	1	33	2012
121	The Rolling Stones	Exile on Main St	Rock	1972	1	33	2016
120	The Rolling Stones	Some Girls	Rock	1978	1	33	2014
119	The Rolling Stones	Emotional Rescue	Rock	1980	1	33	2017
118	Golden Dawn Arkestra	Golden Dawn Arkestra	Jam, Funk, World, Fusion	2014	1	33	2014
117	Grateful Dead	Skeletons from the Closet	Rock, Folk, Psychedelic	1974	1	33	2016
116	Herbie Hancock	Head Hunters	Jazz, Funk, Fusion	1973	1	33	2004
115	Michael Jackson	Off the Wall	Pop	1979	1	33	2010
114	The Jam	All Mod Cons	Punk, Mod, New Wave	1978	1	33	2013
113	Billy Joel	Glass Houses	Rock, Pop, Piano Rock	1980	1	33	2010
112	Led Zeppelin	III	Rock	1970	1	33	2008
111	John Lennon	Rock 'N' Roll	Rock N' Roll	1975	1	33	2007
110	Madness	One Step Beyond	Ska, Two-Tone	1979	1	33	2010
109	Madness	Absolutely	Ska, Two-Tone	1980	1	33	2010
108	Madness	Keep Moving	Ska, Two Tone	1984	1	33	2010
107	Madness	The Rise & Fall	Ska, Two Tone	1982	1	33	2010
106	Junior Murvin	Police & Thieves	Reggae	1977	1	33	2011
105	Charles Mingus	Mingus Ah Um	Jazz	1959	1	33	2006
104	Wolfgang Amadeus Mozart	String Quartets K. 499 & K. 575	Classical	1968	1	33	2007
103	Claude Debussy	Children's Corner, Clair de Lune, L'isle Joyeuse, ...	Classical	1969	1	33	2005
101	Dire Straits	Brothers in Arms	Rock	1985	1	33	2010
100	Bob Dylan	The Freewheelin'	Folk	1963	1	33	2011
99	Bob Dylan	Bringing it All Back Home	Folk	1965	1	33	2011
98	Electric Light Orchestra	ELO's Greatest Hits	Rock, Art Rock	1979	1	33	2007
97	Duke Ellington	Ellington at Newport	Jazz	1956	1	33	2009
96	Johnny Cash	Johnny Cash at San Quentin	Country	1969	1	33	2012
95	Johnny Cash	Sings the Ballads of the True West	Country	1965	2	33	2012
94	The Cars	Greatest Hits	Rock, Power Pop	1985	1	33	2005
93	Ray Charles	The Genius of Ray Charles	R&B	1959	1	33	2010
92	Various	The Best of Chess Rock N' Roll	Rock N' Roll	1987	2	33	2006
91	The Clash	Combat Rock	Punk	1982	1	33	2010
90	John Coltrane	A Love Supreme	Jazz	1965	1	33	2008
89	Cream	Best of Cream	Rock	1969	1	33	2011
88	David Bowie	Hunky Dory	Glam Rock, Art Rock	1971	1	33	2011
87	David Bowie	Station to Station	Rock, Funk, Krautrock	1976	1	33	2011
86	David Bowie	Let's Dance	Pop	1983	1	33	2016
85	David Bowie	Black Star	Art Rock, Experimental Rock	2016	1	33	2016
84	David Byrne	The Catherine Wheel	Art Rock, World	1981	1	33	2018
83	The Boomtown Rats	The Fine Art of Surfacing	Rock	1979	1	33	2018
39	Belle and Sebastian	Girls in Peacetime Want to Dance	Indie Pop	2014	1	33	2014
20	Tune Yards	Whokill	Art Pop, Noise Pop	2011	1	33	2011
19	Tune Yards	Nikki Nack	Art Pop, Worldbeat	2014	1	33	2014
18	The Go-Gos	Beauty and the Beat	New Wave	1981	1	33	2006
17	Yes	Close to the Edge	Progressive Rock	1972	1	33	2007
16	Fun Boy Three	Waiting	New Wave	1983	1	33	2012
15	Blondie	Parallel Lines	New Wave	1978	1	33	2010
13	David Bowie	The Rise and Fall of Ziggy Stardust and the Spiders from Mars	Glam Rock	1972	1	33	2010
12	The Clash	London Calling	Punk	1979	2	33	2013
11	Amy Winehouse	Back to Black	Soul, R&B, Neo Soul	2006	1	33	2011
10	Various	The Darjleeing Limited	Soundtrack, Indian	2007	1	33	2010
9	Bon Iver	Bon Iver	Folk	2011	1	33	2011
8	Johnny Flynn	Been Listening	Folk	2010	2	33	2010
7	The B-52's	Wild Planet	New Wave	1980	1	33	2004
6	Roy Acuff	Great Speckle Bird	Country	1936	1	33	2007
5	Adam Ant	Friend or Foe	New Wave	1982	1	33	2012
4	Johnny Greenwood	The Master	Soundtrack	2013	1	33	2015
3	Joanna Newsom	Divers	Folk	2015	2	33	2015
