id	artist	album	genre	year
221	The Dickies	Banana Splits	Punk Rock, Pop Punk	1979
213	Barbara Dickson	Answer Me	Pop	1976
212	Queen	Another One Bites the Dust	Rock, Disco	1980
208	Cheyenne Mize and Bonnie 'Prince' Billy	Among the Gold	Folk, Parlor	2009
204	Pearl Jam	Alive	Grunge, Rock	1991
203	Iannis Xenakis	Akrata - Achorripsis	Classical, Experimental	1969
202	Steeley Dan	aja	Jazz Rock	1977
196	Various	25 Rock Revival Greats	Rock 'N' Roll	
195	Various	2001 a space odyssey	Soundtrack	1968
193	Various	20 Famous Country Hits	Country	
192	Gladys Knight & The Pips	2 Record Set	R&B, Soul, Pop	
191	Leo Kottke	1971-1976	Folk, Country, American Primitive Guitar	1976
190	Peter Tchaikovsky	1812 Overture	Classical	
188	Peter, Paul & Mary	10 Years Together	Folk	1970
187	French Quarter	French Quarter	Folk, Bedroom Pop	2007
185	George Moustaki		French, Pop	
184	Toto	Toto	Progressive Rock, Jazz Rock, R&B, Hard Rock	1978
183	Toto	IV	Rock	1982
181	Electric Light Orchestra	ELO II	Progressive rock	1973
173	The Specials	Do Nothing / Maggie's Farm	Ska, Two Tone	1980
172	High Places	03/07-09/07	Psychedelic Pop	2008
170	Whateverglades	Wish You Were	Rock N' Roll	2017
163	The Coasters	Poison Ivy	Rock	1959
162	Vera Lynn	Sincerely Yours	Pop	1945
160	Sugar Cane	Val Hevala	Pop	1979
159	The Special AKA	Nelson Mandela	Ska, Two Tone	1984
158	David Bowie & Bing Crosby	Peace On Earth / Little Drummer Boy	Rock	1982
157	John Lennon & Yoko Ono	Beautiful Boys / Woman	Rock	1980
156	John Lennon & Yoko Ono	Just Like Starting Over / Kiss Kiss Kiss	Rock	1980
155	10cc	The Things We Do For Love	Soft Rock	1976
149	Rhoda Dakar	Sings The Bodysnatchers	Ska, Two Tone	2014
147	Culture Club	Karma Chameleon	New Wave	1983
144	Various	Santeria-Cubana	World, Cuban	1968
140	Sly and the Family Stone	Fresh	Funk	1973
138	Squeeze	Singles	New Wave, Punk	1982
130	Gilbert & Sullivan	The Pirates of Penzance	Musical	1981
126	Django Reinhardt	Django Reinhard & Stephane Grappelly with the Quintet of the Hot Club of France	Jazz, Gypsy Jazz	1945
124	Richard O'Brien	The Rocky Horror Picture Show	Musical, Glam Rock, Rock, Soundtrack	1975
123	The Rolling Stones	December's Children	Rock	1965
121	The Rolling Stones	Exile on Main St	Rock	1972
117	Grateful Dead	Skeletons from the Closet	Rock, Folk, Psychedelic	1974
112	Led Zeppelin	III	Rock	1970
107	Madness	The Rise & Fall	Ska, Two Tone	1982
104	Wolfgang Amadeus Mozart	String Quartets K. 499 & K. 575	Classical	1968
103	Claude Debussy	Children's Corner, Clair de Lune, L'isle Joyeuse, ...	Classical	1969
100	Bob Dylan	The Freewheelin'	Folk	1963
97	Duke Ellington	Ellington at Newport	Jazz	1956
95	Johnny Cash	Sings the Ballads of the True West	Country	1965
94	The Cars	Greatest Hits	Rock, Power Pop	1985
85	David Bowie	Black Star	Art Rock, Experimental Rock	2016
84	David Byrne	The Catherine Wheel	Art Rock, World	1981
39	Belle and Sebastian	Girls in Peacetime Want to Dance	Indie Pop	2014
20	Tune Yards	Whokill	Art Pop, Noise Pop	2011
19	Tune Yards	Nikki Nack	Art Pop, Worldbeat	2014
18	The Go-Gos	Beauty and the Beat	New Wave	1981
10	Various	The Darjleeing Limited	Soundtrack, Indian	2007
9	Bon Iver	Bon Iver	Folk	2011
6	Roy Acuff	Great Speckle Bird	Country	1936
4	Johnny Greenwood	The Master	Soundtrack	2013
